STR,RES,import,dom,kuro,mark1,mark2,iprice,dprice,kprice
504,0,0,0,1,1,0,0,0,306
504,0,0,0,0,0,0,0,0,0
505,1,1,0,0,0,0,150,0,0
505,0,0,1,0,0,0,0,230,0
505,0,0,0,1,0,1,0,0,420
505,0,0,0,0,0,0,0,0,0
506,1,1,0,0,0,0,98,0,0
506,0,0,1,0,0,0,0,264,0
506,0,0,0,1,0,0,0,0,382
506,0,0,0,0,0,0,0,0,0
507,0,1,0,0,0,0,150,0,0
507,1,0,1,0,0,0,0,128,0
507,0,0,0,1,1,0,0,0,344
507,0,0,0,0,0,0,0,0,0
508,1,1,0,0,0,0,202,0,0
508,0,0,1,0,0,0,0,298,0
508,0,0,0,1,0,1,0,0,458
508,0,0,0,0,0,0,0,0,0
509,1,1,0,0,0,0,124,0,0
509,0,0,1,0,0,0,0,196,0
509,0,0,0,1,0,0,0,0,420
509,0,0,0,0,0,0,0,0,0
601,0,1,0,0,0,0,98,0,0
601,1,0,1,0,0,0,0,230,0
601,0,0,0,1,1,0,0,0,458
601,0,0,0,0,0,0,0,0,0
602,0,1,0,0,0,0,176,0,0
602,1,0,1,0,0,0,0,162,0
602,0,0,0,1,0,1,0,0,344
602,0,0,0,0,0,0,0,0,0
603,0,1,0,0,0,0,124,0,0
603,0,0,1,0,0,0,0,162,0
603,1,0,0,1,0,0,0,0,268
603,0,0,0,0,0,0,0,0,0
604,0,1,0,0,0,0,228,0,0
604,0,0,1,0,0,0,0,196,0
604,1,0,0,1,1,0,0,0,306
604,0,0,0,0,0,0,0,0,0
605,0,1,0,0,0,0,150,0,0
605,1,0,1,0,0,0,0,230,0
605,0,0,0,1,0,1,0,0,420
605,0,0,0,0,0,0,0,0,0
606,0,1,0,0,0,0,98,0,0
606,0,0,1,0,0,0,0,264,0
606,1,0,0,1,0,0,0,0,382
606,0,0,0,0,0,0,0,0,0
607,0,1,0,0,0,0,150,0,0
607,1,0,1,0,0,0,0,128,0
607,0,0,0,1,1,0,0,0,344
607,0,0,0,0,0,0,0,0,0
608,0,1,0,0,0,0,202,0,0
608,1,0,1,0,0,0,0,298,0
608,0,0,0,1,0,1,0,0,458
608,0,0,0,0,0,0,0,0,0
609,0,1,0,0,0,0,124,0,0
609,1,0,1,0,0,0,0,196,0
609,0,0,0,1,0,0,0,0,420
609,0,0,0,0,0,0,0,0,0
701,0,1,0,0,0,0,98,0,0
701,1,0,1,0,0,0,0,230,0
701,0,0,0,1,1,0,0,0,458
701,0,0,0,0,0,0,0,0,0
702,0,1,0,0,0,0,176,0,0
702,1,0,1,0,0,0,0,162,0
702,0,0,0,1,0,1,0,0,344
702,0,0,0,0,0,0,0,0,0
703,0,1,0,0,0,0,124,0,0
703,0,0,1,0,0,0,0,162,0
703,1,0,0,1,0,0,0,0,268
703,0,0,0,0,0,0,0,0,0
704,0,1,0,0,0,0,228,0,0
704,0,0,1,0,0,0,0,196,0
704,1,0,0,1,1,0,0,0,306
704,0,0,0,0,0,0,0,0,0
705,0,1,0,0,0,0,150,0,0
705,1,0,1,0,0,0,0,230,0
705,0,0,0,1,0,1,0,0,420
705,0,0,0,0,0,0,0,0,0
706,0,1,0,0,0,0,98,0,0
706,1,0,1,0,0,0,0,264,0
706,0,0,0,1,0,0,0,0,382
706,0,0,0,0,0,0,0,0,0
707,0,1,0,0,0,0,150,0,0
707,1,0,1,0,0,0,0,128,0
707,0,0,0,1,1,0,0,0,344
707,0,0,0,0,0,0,0,0,0
708,0,1,0,0,0,0,202,0,0
708,1,0,1,0,0,0,0,298,0
708,0,0,0,1,0,1,0,0,458
708,0,0,0,0,0,0,0,0,0
709,0,1,0,0,0,0,124,0,0
709,1,0,1,0,0,0,0,196,0
709,0,0,0,1,0,0,0,0,420
709,0,0,0,0,0,0,0,0,0
801,0,1,0,0,0,0,98,0,0
801,0,0,1,0,0,0,0,230,0
801,1,0,0,1,1,0,0,0,458
801,0,0,0,0,0,0,0,0,0
802,0,1,0,0,0,0,176,0,0
802,0,0,1,0,0,0,0,162,0
802,1,0,0,1,0,1,0,0,344
802,0,0,0,0,0,0,0,0,0
803,0,1,0,0,0,0,124,0,0
803,0,0,1,0,0,0,0,162,0
803,1,0,0,1,0,0,0,0,268
803,0,0,0,0,0,0,0,0,0
804,0,1,0,0,0,0,228,0,0
804,0,0,1,0,0,0,0,196,0
804,1,0,0,1,1,0,0,0,306
804,0,0,0,0,0,0,0,0,0
805,0,1,0,0,0,0,150,0,0
805,0,0,1,0,0,0,0,230,0
805,1,0,0,1,0,1,0,0,420
